Chinese	Pinyin	English
他的动机是好的.	tā de dòngjī shì hǎo de	He was acting from the best of motives.
我弄不明白他为什么缺席。	wǒ nòng bù míngbai tā wèishénme quēxí	I can't figure out why he is absent.
他真心诚意地愿意帮助我们。	tā zhēnxīn chéngyì dì yuànyì bāngzhù wǒmen	He has a genuine desire to help us.
你能告诉我你一个月赚多少吗？	nǐ néng gàosu wǒ nǐ yī gè yuè zhuàn duōshao ma	Can you tell me how much you earn a month?
她把我介绍给她的朋友。	tā bǎ wǒ jièshào gěi tā de péngyou	She introduced me to her friend.
他个子小但身体很健康。	tā gèzi xiǎo dàn shēntǐ hěn jiànkāng	He was small and healthily built.
她的秘书处理她的一切约会。	tā de mìshū chǔlǐ tā de yīqiè yuēhuì	Her secretary took care of all her appointments.
我想他会拒绝的。我恰恰认为她是个固执已见的人，做这种事当然不合乎她的习惯。	wǒ xiǎng tā huì jùjué de wǒ qiàqià rènwéi tā shì gè gùzhí yǐ jiàn de rén zuò zhèzhǒng shì dāngrán bù héhū tā de xíguàn	I expected her to refuse. I just thought of her as set in her ways, and this sort of thing certainly wasn't among her habits.
她所有的钱都投放到股票里去了。	tā suǒyǒu de qián dōu tóufàng dào gǔpiào lǐ qù le	She's got all her money in stocks and shares.
我看到他就高兴。	wǒ kàn dào tā jiù gāoxìng	I never see him but I am happy.
我父亲决不会同意我们的婚姻的。	wǒ fùqīn jué bùhuì tóngyì wǒmen de hūnyīn de	My father will never give his consent to our marriage.
她穿上袜子。	tā chuānshang wàzi	She draws on her socks.
有足够的钱的；富裕的	yǒu zúgòu de qián de fùyù de	Having plenty of money; prosperous.
他在明知他的性命有可能受到威胁的情况下接任了那职位。	tā zài míngzhī tā de xìngmìng yǒukěnéng shòudào wēixié de qíngkuàng xià jiē rèn le nà zhíwèi	He took over the post in the knowledge that it might endanger his life.
她向他表示衷心的感谢。	tā xiàng tā biǎoshì zhōngxīn de gǎnxiè	She gave him her heartfelt thanks.
针刺进了她的手指。	zhēncì jìn le tā de shǒuzhǐ	The needle pierced her finger.
你应很好利用宝贵的每一分钟去学习。	nǐ yīng hěn hǎo lìyòng bǎoguì de měiyī fēnzhōng qù xuéxí	You should make good use of every precious minute to study.
她用挖苦的语调和他说话。	tā yòng wākǔ de yǔ tiáohé tā shuōhuà	She talked with him with sarcastic tones.
在院子里我看见两只猫。	zài yuànzi lǐ wǒ kànjiàn liǎng zhǐ māo	I saw a couple of cats in the yard.
他擦去铅笔的痕迹。	tā cā qù qiānbǐ de hénjì	He erases pencil marks.
他总是把时间花在毫无意义的事上。	tā zǒngshì bǎ shíjiān huā zài háowú yìyì de shì shàng	He always spend his time to no purpose.
他喜欢在周末看滑稽剧来放松自己。	tā xǐhuan zài zhōumò kàn huájī jù lái fàngsōng zìjǐ	He likes to watch farces at weekends to relax himself.
这不过是个笑话而已。	zhè bùguò shì gè xiàohuà éryǐ	It is nothing but a joke.
你到底是什么意思?	nǐ dàodǐ shì shénme yìsi	What on earth do you mean?
她讲了一辈子中文。	tā jiǎng le yībèizi Zhōngwén	She has spoken Chinese all her life.
我请他去给我晚报拿来。	wǒ qǐng tā qù gěi wǒ wǎnbào nálái	I asked him to fetch me the evening paper.
物理和数学都是我喜欢的科目.	wùlǐ hé shùxué dōu shì wǒ xǐhuan de kēmù	Physics and maths are my favourite subjects.
听说你的猫死了，我觉得很难过。	tīngshuō nǐ de māo sǐ le wǒ juéde hěn nánguò	I was sorry to hear that your cat had died.
我们大家比以往更需要努力工作。	wǒmen dàjiā bǐ yǐwǎng gèng xūyào nǔlì gōngzuò	It is more necessary than ever for all of us to work hard.
谢谢你给我们送礼物。	xièxie nǐ gěi wǒmen sòng lǐwù	Thank you for the present.
水的密度是1。	shuǐ de mìdù shì	The density of water is 1.
他感冒了。	tā gǎnmào le	He caught a cold.
尽管我知道菠菜对我有益，我还是不喜欢它、	jǐnguǎn wǒ zhīdào bōcài duì wǒ yǒuyì wǒ háishi bù xǐhuan tā	I do not like spinach even though I know it's good for me.
他笑着告诉我这个消息。	tā xiào zhe gàosu wǒ zhège xiāoxi	He told me the news with a laugh.
无论如何，我都支持你。	wúlùnrúhé wǒ dōu zhīchí nǐ	I'll stand by you whatever happens.
她是个守法的公民。	tā shì gè shǒufǎ de gōngmín	She is a lawful citizen.
太糟糕了。	tài zāogāo le	That's too bad.
老师不应该体罚学生。	lǎoshī bù yīnggāi tǐfá xuésheng	A teacher should not give students corporal punishment.
还好。顺便问一下，你母亲怎么样？她好吗？	háihǎo shùnbiàn wèn yīxià nǐ mǔqīn zěnmeyàng tā hǎo ma	Not bad. By the way, how is your mother? Is she all right?
那是个小巧玲珑的开罐头工具。	nàshi gè xiǎoqiǎolínglóng de kāi guàntou gōngjù	It's an artful little gadget for opening tins.
她喜欢各种运动。	tā xǐhuan gèzhǒng yùndòng	She likes all kinds of sports.
我喜欢吃有黄瓜的三明治。	tā láidào Běijīng xiǎng pèng pèngyùnqi	I like to eat cucumber sandwiches.
尽管他帮助过我，可是我还是恨他。	jǐnguǎn tā bāngzhù guò wǒ kěshì wǒ háishi hèn tā	I hate him albeit he helped me.
我想请你下星期日去参加舞会好吗？	wǒ xiǎng qǐng nǐ xià Xīngqīrì qù cānjiā wǔhuì hǎo ma	I would like to invite you to a ball next Sunday.
这件衣服不适合我。	zhè jiàn yīfu bù shìhé wǒ	This dress doesn't fit me.
她经验更丰富，这是她得到那份工作的决定性因素。	tā jīngyàn gèng fēngfù zhè shì tā dédào nà fèn gōngzuò de juédìngxìng yīnsù	Her greater experience tipped the balance in her favour and she got the job.
用功的学生有前途。	yònggōng de xuésheng yǒu qiántú	Promising is a diligent student.
每个人都有自己的名字.	měigerén dōu yǒu zìjǐ de míngzi	Each man has his own name.
你注意到了这一点是够机灵的。	nǐ zhùyì dàoliǎo zhè yīdiǎn shì gòu jīling de	It was very sharp of you to have noticed that.
我马上就来。	wǒ mǎshàng jiù lái	I'll be right with you.
她本来会嫁给他的，但知道他是个流氓后，她就离开他了。	tā běnlái huì jià gěi tā de dàn zhīdào tā shì gè liúmáng hòu tā jiù líkāi tā le	She would have married him, but when she learned that he was a rascal, she parted with him.
他的书对这一问题的论述是最好的，仅次于我的书。	tā de shū duì zhè yī wèntí de lùnshù shì zuìhǎo de jǐncìyú wǒ de shū	His book is the best on the subject after mine.
他警告我晚上不要到那去。	tā jǐnggào wǒ wǎnshang bùyào dào nà qù	He warned me against going there at night.
好像要下雨了。	hǎoxiàng yào xiàyǔ le	It looks as if it is going to rain.
你到底是怎么知道的？	nǐ dàodǐ shì zěnme zhīdào de	How on earth did you know it?
我们认为他值得信任。	wǒmen rènwéi tā zhíde xìnrèn	We esteem him to be worthy of trust.
鱼做得恰到好处。	yú zuò dé qiàdàohǎochù	The fish is done to a turn.
我还能有别的方法可以向她道歉吗？	wǒ hái néng yǒu biéde fāngfǎ kěyǐ xiàng tā dàoqiàn ma	How else can I apologize for her?
你吃了这片药神经就不那麽紧张了。	nǐ chī le zhè piàn yào shénjīng jiù bù nàme jǐnzhāng le	This pill will help to settle your nerves.
我姐姐和我都喜欢穿牛仔裤。	wǒ jiějie hé wǒ dōu xǐhuan chuān niúzǎikù	Both my sister and I like to wear jeans.
玛丽所有的钱是怎么赚到的？	Mǎlì suǒyǒu de qián shì zěnme zhuàn dào de	How did Mary make all of her money?
这两间大教室已经分配给我们了.	zhè liǎng jiān dà jiàoshì yǐjīng fēnpèi gěi wǒmen le	The two large classrooms have been assigned to us.
你把结果算对了吗？	nǐ bǎ jiéguǒ suàn duìle ma	Did you get the answer right?
你只要一看见她的脸就会明白，她是无辜的。	nǐ zhǐyào yī kànjiàn tā de liǎn jiù huì míngbai tā shì wúgū de	A glimpse of her face will tell you that she is innocent.
我们为什么要怕他呢？	wǒmen wèishénme yào pà tā ne	Why is it that we should be afraid of him?
他想扩充自己在这一行业的知识。	tā xiǎng kuòchōng zìjǐ zài zhè yī hángyè de zhīshi	He wants to widen his knowledge of the industry.
今天有多少学生缺席？	jīntiān yǒu duōshao xuésheng quēxí	How many students are absent today?
我已经足够大了，有权去做我喜欢做的事。	wǒ yǐjīng zúgòu dà le yǒuquán qù zuò wǒ xǐhuan zuò de shì	I'm old enough to have the freedom to do as I like.
这条峡谷里的景色非常美丽。	zhè tiáo xiágǔ lǐ de jǐngsè fēicháng měilì	The scene is very beautiful in this glen.
她和他的感受相同。	tā hé tā de gǎnshòu xiāngtóng	She felt just the same as he did.
发现她在那，我感到很吃惊。	fāxiàn tā zài nà wǒ gǎndào hěn chījīng	I was amazed to find her there.
他的粗鲁让我生气。	tā de cūlǔ ràng wǒ shēngqì	His rudeness made me really angry.
车祸夺去了他的妻子和儿子的生命。	chēhuò duó qù le tā de qīzi hé érzi de shēngmìng	The accident bereaved him of his wife and child.
她的任务是感化过去的罪犯。	tā de rènwu shì gǎnhuà guòqu de zuìfàn	Her mission was to reclaim former criminals.
因为我的愚蠢，我不得不站起来听他的批评。	yīnwèi wǒ de yúchǔn wǒ bùdébù zhànqǐlai tīng tā de pīpíng	I have to stand up listening to his criticism of my foolishness.
他的粗鲁惹得我揍了他。	tā de cūlǔ rě dé wǒ zòu le tā	His rudeness provoked me to strike him.
你喜欢姜汁啤酒吗？	nǐ xǐhuan jiāngzhī píjiǔ ma	Do you like ginger beer?
他和妻子吵架後就把她抛弃了。	tā hé qīzi chǎojià hòu jiù bǎ tā pāoqì le	He had a row with his wife and just walked out on her.
她的裙子上有个细长的开口。	tā de qúnzi shàng yǒu gè xìcháng de kāikǒu	Her skirt has a long slit.
报纸上的这篇文章为他的演讲提供了启发。	bàozhǐ shàng de zhè piān wénzhāng wéi tā de yǎnjiǎng tígōng le qǐfā	The newspaper article provided him with fuel for his speech.
你的这一班机是英国航空公司的飞机.	nǐ de zhè yī bānjī shì Yīngguó hángkōnggōngsī de fēijī	Your carrier for this flight is British Airways.
她女儿的漂亮眼睛是来自她的部分遗传特征。	tā nǚ'ér de piàoliang yǎnjing shì láizì tā de bùfen yíchuán tèzhēng	Her daughter's bonny eyes are parts of her heredity.
你的约会怎么样？	nǐ de yuēhuì zěnmeyàng	How was your date?
那册书还能买到吗？	nà cè shū hái néng mǎi dào ma	Is that volume still in print?
他带着心满意足的微笑告诉了我们。	tā dài zhe xīnmǎnyìzú de wēixiào gàosu le wǒmen	He told us with a smile of contentment.
他在社会福利部工作。	tā zài shèhuì fúlì bù gōngzuò	He worked in community welfare department.
他是世界上最富有的人。	tā shì shìjiè shàng zuì fù yǒude rén	He is the richest man in the world.
那衣服太昂贵，我买不起。	nà yīfu tài ángguì wǒ mǎibuqǐ	The dress is too expensive for me to buy.
你会习惯的。	nǐ huì xíguàn de	You'll get used to it.
以牺牲健康来求得工作上的成功是不值得的。	yǐ xīshēng jiànkāng lái qiúdé gōngzuò shàng de chénggōng shì bùzhíde de	Success in your job is not worth the sacrifice of your health.
那位体贴的丈夫对妻子的关怀使她感觉很不高兴。	nà wèi tǐtiē de zhàngfu duì qīzi de guānhuái shǐ tā gǎnjué hěn bù gāoxìng	The solicitude of the caring husband for his wife made her feel unhappy.
现在请注意它的商标。	xiànzài qǐng zhùyì tā de shāngbiāo	Now pay attention its brand please.
他擦去试卷上的铅笔笔迹然后递给了老师。	tā cā qù shìjuàn shàng de qiānbǐ bǐjì ránhòu dì gěi le lǎoshī	He erased pencil marks form the test paper and handed to the teacher.
她讲了她的冒险经历。	tā jiǎng le tā de màoxiǎn jīnglì	She recounted her adventures.
我不能肯定已经领会您的意思。是不是您不满意您现在的工作。	wǒ bùnéng kěndìng yǐjīng lǐnghuì nín de yìsi shìbùshì nín bùmǎnyì nín xiànzài de gōngzuò	I am not certain I have grasped what you meant. Is it(that) you are not satisfy with your present job?
你一定是在开玩笑吧。	nǐ yīdìng shì zài kāiwánxiào ba	You must be joking.
医生一会儿就到。	yīshēng yīhuìr jiù dào	The doctor will be here presently.
我还认识到了集体的力量。	wǒ hái rènshi dàoliǎo jítǐ de lìliang	I also learned the strength of the collective.
我已经把我所有的希望都寄托在你身上了。	wǒ yǐjīng bǎ wǒ suǒyǒu de xīwàng dōu jìtuō zài nǐ shēnshang le	I have staked all my hopes on you.
在我们家里，丈夫和我都挣工资。	zài wǒmen jiālǐ zhàngfu hé wǒ dōu zhèng gōngzī	In our family both my husband and I are wage earners.
关于此事，你能给我提供什么消息吗？	guānyú cǐ shì nǐ néng gěi wǒ tígōng shénme xiāoxi ma	Can you give me any information on this matter?
我觉得我有义务不这样。	wǒ juéde wǒ yǒu yìwù bù zhèyàng	I feel it is my duty not to.
她的智慧比我们猜想的要高。	tā de zhìhuì bǐ wǒmen cāixiǎng de yào gāo	She has more intelligence than we suspected her to possess.
我目前的这一切额外工作用去了我的闲暇时间.	wǒ mùqián de zhè yīqiè éwài gōngzuò yòng qù le wǒ de xiánxiá shíjiān	All this extra work I'm doing is breaking into my leisure time.
他的诚实是无可争议的。	tā de chéngshí shì wúkě zhēngyì de	His honesty is beyond dispute.
她干的工作比别人要好些。	tā gàn de gōngzuò bǐ biéren yàohǎo xiē	Her work is a cut above that of the others.
我们都关心她的健康。	wǒmen dōu guānxīn tā de jiànkāng	We are all concerned about her health.
我百分之百同意你的看法。	wǒ bǎifēnzhībǎi tóngyì nǐ de kànfǎ	I am a hundred percent in agreement with you.
她使她的手指和我的手指交错。	tā shǐ tā de shǒuzhǐ hé wǒ de shǒuzhǐ jiāocuò	She interlaced her fingers with mine.
万一我忘记，请提醒我。	wànyī wǒ wàngjì qǐng tíxǐng wǒ	In case (=If) I forget, please remind me.
你懂挪威语吗？	nǐ dǒng Nuówēi yǔ ma	Do you know Norwegian?
她是我们公司的一位秘书。	tā shì wǒmen gōngsī de yī wèi mìshū	She is a secretary in our company.
我的钢笔是新的。	wǒ de gāngbǐ shì xīn de	My pen is new.
我给他买了一袋糖果。	wǒ gěi tā mǎi le yī dài tángguǒ	I bought him a packet of sugar.
他不仅请我进屋，而且竟然还请喝了一杯。	tā bùjǐn qǐng wǒ jìn wū érqiě jìngrán hái qǐng hē le yī bēi	He not only invited me into his house but he actually offered me a drink.
随地吐痰是不允许的。	suídì tǔtán shì bù yǔnxǔ de	It's not allowed to spit everywhere.
你的初步措施是什么？	nǐ de chūbù cuòshī shì shénme	What are your preparatory measures?
我感到了猫在我的腿上蹭来蹭去。	wǒ gǎn dàoliǎo māo zài wǒ de tuǐ shàng cèng lái cèng qù	I could feel the cat rubbing up against my leg.
你周末计划做什么？	nǐ zhōumò jìhuà zuò shénme	What are your plans for the weekend?
你看了关于选举的新闻了吗？	nǐ kàn le guānyú xuǎnjǔ de xīnwén le ma	Have you read the news about the election?
因为天气热，她穿了一件凉快的衣服。	yīnwèi tiānqì rè tā chuān le yī jiàn liángkuai de yīfu	As it was a hot day she wore a cool dress.
我只要做的就是说服他跟我们一起去。	wǒ zhǐyào zuò de jiùshì shuōfú tā gēn wǒmen yīqǐ qù	All I have to do is persuade him to go with us.
我不喜欢他，但是说句公道话，他是个好工人。	wǒ bù xǐhuan tā dànshì shuō jù gōngdào huà tā shì gè hǎo gōngrén	I don't like him, but, to give him his due, he is a good worker.
他的盘子里盛满了米饭。	tā de pánzi lǐ chéng mǎn le mǐfàn	His plate was piled high with rice.
他的失败是再明白不过了。	tā de shībài shì zài míngbai bùguò le	His failure is as plain as plain can be.
她真心真意的帮助我。	tā zhēnxīn zhēnyì de bāngzhù wǒ	She helps me with heartfelt feeling.
大部分有学问的人都很谦虚。	dàbùfen yǒuxuéwèn de rén dōu hěn qiānxū	Most learned men are modest.
我把钥匙掉在这附近某个地方了。	wǒ bǎ yàoshi diào zài zhè fùjìn mǒu gè dìfang le	I dropped my key somewhere about here.
你介意我明天请假吗？	nǐ jièyì wǒ míngtiān qǐngjià ma	Are you mind if I take tomorrow off?
你疯了吗？	nǐ fēng le ma	Are you insane?
他给他的汽车装了空调。	tā gěi tā de qìchē zhuāng le kōngtiáo	He equipped his car with air conditioning.
她是个真正的专家。	tā shì gè zhēnzhèng de zhuānjiā	She is a real professional.
我打算娶她。	wǒ dǎsuàn qǔ tā	I'm going to marry her.
我知道他们和你在议论我。	wǒ zhīdào tāmen hé nǐ zài yìlùn wǒ	I know they have been discussing me with you.
书和我的关系正如同水和植物的关系。	shū hé wǒ de guānxi zhèng rútóng shuǐ hé zhíwù de guānxi	As water is to the plant, so are books to me.
你知道怎么挤牛奶吗？	nǐ zhīdào zěnme jǐ niúnǎi ma	Do you know how to milk a cow?
坐过去点，让你外婆坐下来。	zuò guòqu diǎn ràng nǐ wàipó zuò xiàlai	Move over and let your grandmother sit down.
我非常为你惋惜。	wǒ fēicháng wéi nǐ wǎnxī	I'm dreadfully sorry for you.
我的鞋底都断了。	wǒ de xiédǐ dōu duàn le	The soles of my shoes are broken.
我喜欢他的写作风格，但是不喜欢他的内容。	wǒ xǐhuan tā de xiězuò fēnggé dànshì bù xǐhuan tā de nèiróng	I like the style of his writing but I don't like the content.
老是有各种各样的天气，不论我们喜欢不喜欢。	lǎoshi yǒu gèzhǒnggèyàng de tiānqì bùlùn wǒmen xǐhuan bù xǐhuan	There's always weather, weather, whether we like it or not.
我们做了非正式的会晤。	wǒmen zuò le fēizhèngshì de huìwù	We had an informal meeting.
老实讲，我不同意你的计划。	lǎoshi jiǎng wǒ bùtóng yì nǐ de jìhuà	To tell the truth, I don't agree to your plan.
就我而言，我并不反对你的计划。	jiù wǒ éryán wǒ bìngbù fǎnduì nǐ de jìhuà	As far as I am concerned, I'm not against your plan.
请你把这封信复印一份好吗？	qǐng nǐ bǎ zhè fēng xìn fùyìn yī fèn hǎo ma	Could you Xerox this letter please?
情况始终都在变化。	qíngkuàng shǐzhōng dōu zài biànhuà	Conditions are changing all the time.
你们认为他是个好干部吗？	nǐmen rènwéi tā shì gè hǎo gànbù ma	Do you think him a good cadre?
你知道她为什么对他如此冷淡吗？	nǐ zhīdào tā wèishénme duì tā rúcǐ lěngdàn ma	Do you know why she is so strange to him?
他的家在这个城市的东北部。	tā de jiā zài zhège chéngshì de dōng běibù	His house is in the northeast of this city.
我希望这本书的字再大一点儿。	wǒ xīwàng zhè běn shū de zì zài dà yīdiǎnr	I wish this book was written in bigger character.
如果你愿意卖的话，我想买你的房子。	rúguǒ nǐ yuànyì mài dehuà wǒ xiǎng mǎi nǐ de fángzi	I'd like to buy your house if you are willing to sell it.
他向我告别。	tā xiàng wǒ gàobié	He has taken leave of me.
我去我叔叔家。	wǒ qù wǒ shūshu jiā	I am going to my uncle's.
你妈妈是个乐呵呵的容易相处的人。	nǐ māma shì gè lèhēhē de róngyì xiāngchǔ de rén	Your mother is a jolly, easy-going woman.
我恨他那讨厌的品行。	wǒ hèn tā nà tǎoyàn de pǐnxíng	I hate his obnoxious behavior.
现在到了紧要关头。	xiànzài dàoliǎo jǐnyàoguāntóu	We have come to the critical moment.
现在终于发现，是他偷了那笔钱。	xiànzài zhōngyú fāxiàn shì tā tōu le nà bǐ qián	It has emerged that he stole the money.
她一大早就起床了。	tā yīdàzǎo jiù qǐchuáng le	She rose with the lark.
他假装在爬山。	tā jiǎzhuāng zài páshān	He was pretending to climb a mountain.
我想我们今天的讨论大家都谈得差不多了。让我的秘书来送诸位出去吧。	wǒ xiǎng wǒmen jīntiān de tǎolùn dàjiā dōu tán dé chàbuduō le ràng wǒ de mìshū lái sòng zhūwèi chūqù ba	I think that just about concludes our discussion. Let my secretary show you out.
我和她商量过我的报告。	wǒ hé tā shāngliang guò wǒ de bàogào	I consulted with her about my report.
他不愿意受到打扰。	tā bù yuànyì shòudào dǎrǎo	He did not care to be disturbed.
她这个人不好说话，我想她不会答应我们的。	tā zhè gèrén bùhǎo shuōhuà wǒ xiǎng tā bùhuì dāying wǒmen de	She is a hard nut(to crack);I don't think she will give us permission.
好主意。我们或者吃汉堡包或者吃中餐。你更喜欢哪一样？	hǎo zhǔyi wǒmen huòzhě chī hànbǎobāo huòzhě chī Zhōngcān nǐ gèng xǐhuan nǎ yīyàng	Great idea. Let's have either hamburgers or Chinese food. What's your preference?
她的眼睛湿润了。	tā de yǎnjing shīrùn le	Her eyes moistened slightly.
我的眼镜框断了！	wǒ de yǎnjìng kuàng duàn le	My eyeglass frame is broken!
她努力要实现她的理想。	tā nǔlì yào shíxiàn tā de lǐxiǎng	She tries up to live up to her ideals.
我可以向你保证，你儿子在这里会很快乐的。	wǒ kěyǐ xiàng nǐ bǎozhèng nǐ érzi zài zhèlǐ huì hěn kuàilè de	I can assure you that your son will be happy here.
他在面条里放了些醋。	tā zài miàntiáo lǐ fàng le xiē cù	He put some vinegar in the noodles.
我原谅了他的过失。	wǒ yuánliàng le tā de guòshī	I looked over his faults.
她在学习以提高自己的代数水平。	tā zài xuéxí yǐ tígāo zìjǐ de dàishù shuǐpíng	She was studying to build up her algebra.
我们必须重新开始。	wǒmen bìxū chóngxīnkāishǐ	We must make a new start.
我们去吃冰淇淋吧。	wǒmen qù chī bīngqílín ba	Let's go for an ice cream.
天气很暖和，我就把大衣脱了。	tiānqì hěn nuǎnhuo wǒ jiù bǎ dàyī tuō le	I took off my overcoat since it was warm.
据说我们的祖先是猴子。	jùshuō wǒmen de zǔxiān shì hóuzi	It is said that our progenitors are monkeys.
我准备花多少钱是有限度的.	wǒ zhǔnbèi huā duōshao qián shì yǒuxiàn dù de	There's a limit to how much I'm prepared to spend.
我喜欢和我的家人沟通。	wǒ xǐhuan hé wǒ de jiārén gōutōng	I like to communicate with my family.
没人理睬他。	méi rén lǐcǎi tā	Nobody speaks to him.
我已经写了三个小时了。	wǒ yǐjīng xiě le sān gè xiǎoshí le	I've been writing for three hours.
许多新税收都是有争议的。	xǔduō xīn shuìshōu dōu shì yǒu zhēngyì de	Many of the new taxes are controversial.
她觉察到她的机会。	tā juéchá dào tā de jīhuì	She awoke to her opportunity.
不协调的；不和谐的	bùxiétiáo de bù héxié de	Lacking in harmony.
她的衣服让钉子给钩住了。	tā de yīfu ràng dīngzi gěi gōuzhù le	Her dress caught on a nail.
他十岁的时候就已经长得比他哥哥高了。	tā shí suì de shíhou jiù yǐjīng zhǎngde bǐ tā gēge gāo le	By the time he is ten, he has outgrown his older brother.
请做这个句子的填空。	qǐng zuò zhège jùzi de tiánkòng	Please fill in the blanks in the sentence.
我一走近她的办公桌，她就瞪我。	wǒ yī zǒu jìn tā de bàngōng zhuō tā jiù dèng wǒ	She glares at me if I go near her desk.
房间里挤满了客人。	fángjiān lǐ jǐmǎn le kèrén	The room was crowded with guests.
小猫喝了牛奶，又洗了脸。	xiǎomāo hē le niúnǎi yòu xǐ le liǎn	The little cat drank its milk and washed its face.
有道理，我认为那是非常公道的价格。	yǒudàoli wǒ rènwéi nàshi fēicháng gōngdào de jiàgé	Fair enough, I think that's a very reasonable price.
你可以在这本书的第一部分找到你要的资料。	nǐ kěyǐ zài zhè běn shū de dìyī bùfen zhǎodào nǐ yào de zīliào	You may find the information you need in the first portion of the book.
是的，当然可以。	shìde dāngrán kěyǐ	Yes, certainly.
他的行为表明他是可敬的。	tā de xíngwéi biǎomíng tā shì kějìng de	His conduct speaks him honorable.
他紧张地坐着，整理着他的思绪。	tā jǐnzhāng dì zuò zhe zhěnglǐ zhe tā de sīxù	He sat nervously, marshal his thought.
冬天的时候，我们不得不穿上温暖的衣服。	dōngtiān de shíhou wǒmen bùdébù chuānshang wēnnuǎn de yīfu	We have to put on warm clothing in winter.
不休息我们就走不动了。	bù xiūxi wǒmen jiù zǒu bùdòng le	We can't go any farther without a rest.
他的拒绝浇熄了我们的热情。	tā de jùjué jiāo xī le wǒmen de rèqíng	His refusal iced our enthusiasm.
你知道谁是电灯的发明者？	nǐ zhīdào shéi shì diàndēng de fāmíngzhě	Do you know who is the creator of the electric bulb?
他学习日语的兴趣逐渐消失了。	tā xuéxí Rìyǔ de xìngqù zhújiàn xiāoshī le	His interest in learning Japanese has petered out.
她的记性很好.	tā de jìxìng hěn hǎo	She has a good memory.
谁迟到谁倒霉！	shéi chídào shéi dǎoméi	Woe betide anyone who arrives late!
我们发现可折叠的桌子使用非常方便。	wǒmen fāxiàn kě zhédié de zhuōzi shǐyòng fēicháng fāngbiàn	We find our folding table a great convenience.
现在我不会唱歌了，但我年轻的时候会。	xiànzài wǒ bùhuì chànggē le dàn wǒ niánqīng de shíhou huì	I can't sing now, but I could when I was young.
她抱怨名单上遗漏了她的名字。	tā bàoyuàn míngdān shàng yílòu le tā de míngzi	She complained about the omission of her name from the list.
你不喜欢那座亭子吗？	nǐ bù xǐhuan nà zuò tíngzi ma	Do not you love that pavilion?
你的鼓励使我对我的未来更加有信心。	nǐ de gǔlì shǐ wǒ duì wǒ de wèilái gèngjiā yǒu xìnxīn	Your encouragement made me more confident of my future.
他的级别比我高。	tā de jíbié bǐ wǒ gāo	He is above me in rank.
我始终认为帮助别人是重要的。	wǒ shǐzhōng rènwéi bāngzhù biéren shì zhòngyào de	I always make a point of giving a hand to others.
他是我可以信赖的那一种人。	tā shì wǒ kěyǐ xìnlài de nà yīzhǒng rén	He is a man on whom I can rely.
他急切地取食物，因为从黎明开始，他一直没吃东西。	tā jíqiè dì qǔ shíwù yīnwèi cóng límíng kāishǐ tā yīzhí méi chī dōngxi	He took the food eagerly, for he had eaten nothing since dawn.
爱邻居犹如爱自己。	ài línjū yóurú ài zìjǐ	Love your neighbors as yourself.
她羞怯地从她的扇子后面看了他一眼。	tā xiūqiè dì cóng tā de shànzi hòumian kàn le tā yīyǎn	She glanced shyly at him from behind her fan.
他那无聊的闲扯会使你烦恼。	tā nà wúliáo de xiánchě huì shǐ nǐ fánnǎo	His silly chatter would vex you.
他在食槽里放了些草。	tā zài shícáo lǐ fàng le xiē cǎo	He put some grass in the manger.
婴儿把吃进去的东西吐在桌子上了.	yīng'ér bǎ chī jìnqù de dōngxi tǔ zài zhuōzi shàng le	The baby spat its food (out) onto the table.
我的铅笔钝了，你能借我把刀子削一削吗？	wǒ de qiānbǐ dùn le nǐ néng jiè wǒ bǎ dāozi xiāo yī xiāo ma	My pencil is blunt, could you lend me a knife to sharpen it?
我喜欢你的幽默感。	wǒ xǐhuan nǐ de yōumògǎn	I like your sense of humor.
你最好把我的书给我，否则我的测验将要不及格了。	nǐ zuìhǎo bǎ wǒ de shū gěi wǒ fǒuzé wǒ de cèyàn jiāngyào bùjígé le	You'd better give me my book, otherwise I'll fail my test.
她用蔑视的态度和我们说话。	tā yòng mièshì de tàidu hé wǒmen shuōhuà	She talked to us with a defiant manner.
她将我介绍给她的父母。	tā jiāng wǒ jièshào gěi tā de fùmǔ	She introduced me to her parents.
这两个花样我都不喜欢。	zhè liǎng gè huāyàng wǒ dōu bù xǐhuan	I like neither of the designs. (=I don't like either of the designs.)
每个母亲都爱她的孩子。	měi gè mǔqīn dōu ài tā de háizi	Every mother has affection for her children.
我们都被他的爱国精神深深感动了。	wǒmen dōu bèi tā de àiguó jīngshén shēnshēn gǎndòng le	We are all deeply moved by his patriotism.
他真有胆量，穿着那身衣服去工作。	tā zhēn yǒudǎnliàng chuānzhuó nà shēn yīfu qù gōngzuò	He's got a nerve, going to work dressed like that.
老师问了我一些和我的论文有关的问题。	lǎoshī wèn le wǒ yīxiē hé wǒ de lùnwén yǒuguān de wèntí	The teacher asked me some questions relative to my paper.
我很想吃饺子。	wǒ hěn xiǎng chī jiǎozi	I feel like having some dumplings.
我认为他是更合适的人选。	wǒ rènwéi tā shì gèng héshì de rénxuǎn	In my estimation, he is a more suitable candidate.
我感觉不舒服。	wǒ gǎnjué bùshūfu	I'm not feeling well.
他请求我们帮他完成他的计划。	tā qǐngqiú wǒmen bāng tā wánchéng tā de jìhuà	He asked us to assist him in carrying through his plan.
